IssueID,EventCount,EventSequence
188271,7,"[""assigned"", ""closed"", ""merged"", ""auto_squash_enabled"", ""referenced"", ""milestoned"", ""head_ref_deleted""]"
"""188271""",7,"[""head_ref_deleted"", ""merged"", ""auto_squash_enabled"", ""milestoned"", ""assigned"", ""closed"", ""referenced""]"
188275,7,"[""closed"", ""mentioned"", ""referenced"", ""labeled"", ""subscribed"", ""milestoned"", ""assigned""]"
"""188275""",7,"[""referenced"", ""subscribed"", ""milestoned"", ""assigned"", ""closed"", ""labeled"", ""mentioned""]"
188278,7,"[""labeled"", ""assigned"", ""closed"", ""mentioned"", ""subscribed"", ""milestoned"", ""referenced""]"
"""188278""",7,"[""referenced"", ""mentioned"", ""labeled"", ""closed"", ""assigned"", ""milestoned"", ""subscribed""]"
188279,7,"[""closed"", ""head_ref_deleted"", ""milestoned"", ""auto_squash_enabled"", ""assigned"", ""referenced"", ""merged""]"
"""188279""",7,"[""milestoned"", ""auto_squash_enabled"", ""head_ref_deleted"", ""referenced"", ""assigned"", ""closed"", ""merged""]"
188288,7,"[""assigned"", ""auto_squash_enabled"", ""head_ref_deleted"", ""milestoned"", ""referenced"", ""merged"", ""closed""]"
"""188288""",7,"[""milestoned"", ""referenced"", ""merged"", ""assigned"", ""auto_squash_enabled"", ""head_ref_deleted"", ""closed""]"
188290,7,"[""milestoned"", ""merged"", ""auto_squash_enabled"", ""referenced"", ""assigned"", ""closed"", ""head_ref_deleted""]"
"""188290""",7,"[""assigned"", ""auto_squash_enabled"", ""referenced"", ""head_ref_deleted"", ""merged"", ""milestoned"", ""closed""]"
188292,7,"[""merged"", ""referenced"", ""head_ref_deleted"", ""milestoned"", ""auto_squash_enabled"", ""assigned"", ""closed""]"
"""188292""",7,"[""closed"", ""auto_squash_enabled"", ""referenced"", ""milestoned"", ""assigned"", ""merged"", ""head_ref_deleted""]"
188140,6,"[""unlabeled"", ""referenced"", ""closed"", ""labeled"", ""assigned"", ""milestoned""]"
"""188140""",6,"[""unlabeled"", ""milestoned"", ""assigned"", ""referenced"", ""closed"", ""labeled""]"
"""188159""",6,"[""closed"", ""labeled"", ""milestoned"", ""assigned"", ""referenced"", ""unlabeled""]"
188159,6,"[""milestoned"", ""referenced"", ""unlabeled"", ""closed"", ""labeled"", ""assigned""]"
"""188182""",6,"[""merged"", ""auto_squash_enabled"", ""milestoned"", ""closed"", ""referenced"", ""assigned""]"
188182,6,"[""auto_squash_enabled"", ""assigned"", ""milestoned"", ""merged"", ""closed"", ""referenced""]"
"""188183""",6,"[""closed"", ""milestoned"", ""referenced"", ""assigned"", ""auto_squash_enabled"", ""merged""]"
188183,6,"[""referenced"", ""milestoned"", ""merged"", ""assigned"", ""auto_squash_enabled"", ""closed""]"
"""188186""",6,"[""closed"", ""referenced"", ""merged"", ""assigned"", ""milestoned"", ""auto_squash_enabled""]"
188186,6,"[""assigned"", ""referenced"", ""closed"", ""auto_squash_enabled"", ""merged"", ""milestoned""]"
"""188204""",6,"[""auto_squash_enabled"", ""milestoned"", ""merged"", ""referenced"", ""closed"", ""assigned""]"
188204,6,"[""merged"", ""milestoned"", ""assigned"", ""closed"", ""referenced"", ""auto_squash_enabled""]"
188211,6,"[""closed"", ""milestoned"", ""merged"", ""assigned"", ""referenced"", ""auto_squash_enabled""]"
"""188211""",6,"[""closed"", ""milestoned"", ""referenced"", ""auto_squash_enabled"", ""assigned"", ""merged""]"
"""188218""",6,"[""milestoned"", ""merged"", ""assigned"", ""auto_squash_enabled"", ""referenced"", ""closed""]"
188218,6,"[""referenced"", ""milestoned"", ""auto_squash_enabled"", ""assigned"", ""closed"", ""merged""]"
"""188220""",6,"[""merged"", ""milestoned"", ""referenced"", ""auto_squash_enabled"", ""assigned"", ""closed""]"
188220,6,"[""assigned"", ""auto_squash_enabled"", ""milestoned"", ""closed"", ""merged"", ""referenced""]"
188263,6,"[""assigned"", ""subscribed"", ""labeled"", ""unlabeled"", ""mentioned"", ""renamed""]"
"""188263""",6,"[""unlabeled"", ""assigned"", ""labeled"", ""renamed"", ""subscribed"", ""mentioned""]"
188143,5,"[""assigned"", ""subscribed"", ""mentioned"", ""labeled"", ""closed""]"
"""188143""",5,"[""closed"", ""labeled"", ""mentioned"", ""subscribed"", ""assigned""]"
188153,5,"[""labeled"", ""subscribed"", ""mentioned"", ""assigned"", ""unassigned""]"
"""188153""",5,"[""labeled"", ""subscribed"", ""assigned"", ""unassigned"", ""mentioned""]"
188162,5,"[""labeled"", ""mentioned"", ""assigned"", ""unassigned"", ""subscribed""]"
"""188162""",5,"[""labeled"", ""assigned"", ""mentioned"", ""subscribed"", ""unassigned""]"
188188,5,"[""mentioned"", ""labeled"", ""subscribed"", ""assigned"", ""milestoned""]"
"""188188""",5,"[""milestoned"", ""assigned"", ""mentioned"", ""subscribed"", ""labeled""]"
"""188197""",5,"[""mentioned"", ""closed"", ""subscribed"", ""unassigned"", ""assigned""]"
188197,5,"[""assigned"", ""mentioned"", ""subscribed"", ""unassigned"", ""closed""]"
"""188202""",5,"[""milestoned"", ""assigned"", ""closed"", ""labeled"", ""unlabeled""]"
188202,5,"[""closed"", ""unlabeled"", ""labeled"", ""assigned"", ""milestoned""]"
"""188206""",5,"[""unassigned"", ""unlabeled"", ""labeled"", ""assigned"", ""closed""]"
188206,5,"[""assigned"", ""labeled"", ""unlabeled"", ""closed"", ""unassigned""]"
188250,5,"[""unlabeled"", ""closed"", ""labeled"", ""unassigned"", ""assigned""]"
"""188250""",5,"[""assigned"", ""unassigned"", ""labeled"", ""unlabeled"", ""closed""]"
188260,5,"[""unlabeled"", ""labeled"", ""unassigned"", ""closed"", ""assigned""]"
"""188260""",5,"[""assigned"", ""labeled"", ""closed"", ""unassigned"", ""unlabeled""]"
188305,5,"[""labeled"", ""assigned"", ""mentioned"", ""subscribed"", ""milestoned""]"
"""188305""",5,"[""mentioned"", ""subscribed"", ""milestoned"", ""assigned"", ""labeled""]"
188118,4,"[""assigned"", ""labeled"", ""unlabeled"", ""unassigned""]"
"""188118""",4,"[""unlabeled"", ""assigned"", ""unassigned"", ""labeled""]"
188125,4,"[""milestoned"", ""labeled"", ""renamed"", ""assigned""]"
"""188125""",4,"[""labeled"", ""assigned"", ""renamed"", ""milestoned""]"
188134,4,"[""unassigned"", ""labeled"", ""assigned"", ""unlabeled""]"
"""188134""",4,"[""unlabeled"", ""unassigned"", ""labeled"", ""assigned""]"
188139,4,"[""closed"", ""assigned"", ""labeled"", ""milestoned""]"
"""188139""",4,"[""closed"", ""labeled"", ""milestoned"", ""assigned""]"
188173,4,"[""labeled"", ""assigned"", ""milestoned"", ""referenced""]"
"""188173""",4,"[""milestoned"", ""assigned"", ""labeled"", ""referenced""]"
"""188176""",4,"[""closed"", ""assigned"", ""labeled"", ""unlabeled""]"
188176,4,"[""labeled"", ""unlabeled"", ""closed"", ""assigned""]"
188190,4,"[""assigned"", ""unlabeled"", ""labeled"", ""unassigned""]"
"""188190""",4,"[""labeled"", ""assigned"", ""unassigned"", ""unlabeled""]"
"""188199""",4,"[""labeled"", ""closed"", ""milestoned"", ""assigned""]"
188199,4,"[""labeled"", ""closed"", ""milestoned"", ""assigned""]"
188208,4,"[""milestoned"", ""labeled"", ""assigned"", ""unlabeled""]"
"""188208""",4,"[""labeled"", ""milestoned"", ""unlabeled"", ""assigned""]"
188221,4,"[""labeled"", ""unlabeled"", ""assigned"", ""unassigned""]"
"""188221""",4,"[""labeled"", ""assigned"", ""unlabeled"", ""unassigned""]"
188228,4,"[""subscribed"", ""mentioned"", ""labeled"", ""assigned""]"
"""188228""",4,"[""labeled"", ""mentioned"", ""assigned"", ""subscribed""]"
188253,4,"[""unlabeled"", ""unassigned"", ""labeled"", ""assigned""]"
"""188253""",4,"[""unassigned"", ""labeled"", ""assigned"", ""unlabeled""]"
188268,4,"[""head_ref_force_pushed"", ""assigned"", ""milestoned"", ""subscribed""]"
"""188268""",4,"[""milestoned"", ""subscribed"", ""assigned"", ""head_ref_force_pushed""]"
188270,4,"[""milestoned"", ""assigned"", ""auto_squash_enabled"", ""review_requested""]"
"""188270""",4,"[""milestoned"", ""auto_squash_enabled"", ""assigned"", ""review_requested""]"
188283,4,"[""labeled"", ""milestoned"", ""assigned"", ""closed""]"
"""188283""",4,"[""milestoned"", ""labeled"", ""closed"", ""assigned""]"
188284,4,"[""labeled"", ""milestoned"", ""assigned"", ""referenced""]"
"""188284""",4,"[""labeled"", ""assigned"", ""milestoned"", ""referenced""]"
