User1,User2,SharedIssues,Issues
"""alexr00""","""roblourens""",4,"[""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", 155883, 155883, 155883, 155883, 155883, 155883, 155883, ""188153"", ""188153"", ""188153"", 188153, 188153, 188153, ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", 155883, 155883, 155883, 155883, 155883, 155883, 155883, ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", 155883, 155883, 155883, 155883, 155883, 155883, 155883, ""188153"", ""188153"", ""188153"", 188153, 188153, 188153]"
"""github-actions[bot]""","""roblourens""",4,"[""155883"", 155883, ""155883"", 155883, ""152112"", 152112, ""152112"", 152112, ""155883"", 155883]"
"""connor4312""","""roblourens""",4,"[""155883"", 155883, ""188153"", 188153, ""155883"", 155883, ""188153"", 188153]"
"""mjbvz""","""roblourens""",4,"[""152112"", ""152112"", ""152112"", ""152112"", ""152112"", ""152112"", ""152112"", 152112, 152112, 152112, 152112, 152112, 152112, 152112, ""152112"", ""152112"", ""152112"", ""152112"", ""152112"", ""152112"", ""152112"", 152112, 152112, 152112, 152112, 152112, 152112, 152112, ""188280"", 188280]"
"""VSCodeTriageBot""","""joaomoreno""",4,"[""188253"", ""188253"", 188253, 188253, ""188135"", 188135, ""188135"", 188135, ""188135"", 188135, ""188135"", 188135, ""188135"", 188135, ""188135"", 188135]"
"""sandy081""","""Tyriar""",4,"[""188137"", ""188137"", ""188137"", ""188137"", 188137, 188137, 188137, 188137, ""188275"", ""188275"", ""188275"", ""188275"", 188275, 188275, 188275, 188275, ""188137"", ""188137"", ""188137"", 188137, 188137, 188137, ""188275"", ""188275"", ""188275"", ""188275"", 188275, 188275, 188275, 188275]"
"""rebornix""","""dtroberts""",2,"[""188185"", 188185]"
"""alexr00""","""hbons""",2,"[""188143"", ""188143"", 188143, 188143]"
"""alexr00""","""daviddossett""",2,"[""188143"", 188143, ""188143"", 188143]"
"""hbons""","""daviddossett""",2,"[""188143"", 188143, ""188143"", 188143]"
"""rebornix""","""daviddossett""",2,"[""188117"", ""188117"", 188117, 188117, ""188117"", ""188117"", 188117, 188117]"
"""rebornix""","""christian-bromann""",2,"[""188117"", ""188117"", 188117, 188117, ""188117"", ""188117"", 188117, 188117, ""188117"", ""188117"", 188117, 188117]"
"""daviddossett""","""christian-bromann""",2,"[""188117"", 188117, ""188117"", ""188117"", 188117, 188117, ""188117"", 188117]"
"""alexr00""","""aeschli""",2,"[""188134"", 188134]"
"""alexr00""","""andreamah""",2,"[""188118"", ""188118"", 188118, 188118]"
"""lianshup7""","""lszomoru""",2,"[""188241"", ""188241"", 188241, 188241]"
"""andreamah""","""lszomoru""",2,"[""171641"", ""171641"", 171641, 171641]"
"""ahanusa""","""aiday-mar""",2,"[""188263"", 188263, ""188263"", 188263, ""188263"", 188263, ""188263"", 188263]"
"""aiday-mar""","""alexdima""",2,"[""188243"", 188243]"
"""digitarald""","""LeGi0N09""",2,"[""188239"", 188239]"
"""chrmarti""","""jtmaveryk""",2,"[""188172"", 188172]"
"""lramos15""","""bhavyaus""",2,"[""188167"", 188167]"
"""alexr00""","""bhavyaus""",2,"[""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", 155883, 155883, 155883, 155883, 155883, 155883, 155883]"
"""alexr00""","""IllusionMH""",2,"[""188153"", ""188153"", ""188153"", 188153, 188153, 188153]"
"""alexdima""","""stenaksel""",2,"[""188149"", 188149]"
"""daviddossett""","""Roopesh-T""",2,"[""188127"", ""188127"", ""188127"", 188127, 188127, 188127, ""188127"", ""188127"", ""188127"", 188127, 188127, 188127]"
"""arvigeus""","""MeghanKulkarni""",2,"[""188125"", 188125]"
"""alexr00""","""github-actions[bot]""",2,"[""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", 155883, 155883, 155883, 155883, 155883, 155883, 155883, 155883]"
"""bhavyaus""","""github-actions[bot]""",2,"[""155883"", 155883]"
"""andreamah""","""github-actions[bot]""",2,"[""171641"", ""171641"", 171641, 171641]"
"""lszomoru""","""github-actions[bot]""",2,"[""171641"", 171641]"
"""bpasero""","""github-actions[bot]""",2,"[""181489"", 181489]"
"""aeschli""","""github-actions[bot]""",2,"[""169844"", ""169844"", ""169844"", ""169844"", ""169844"", ""169844"", ""169844"", ""169844"", ""169844"", ""169844"", ""169844"", ""169844"", ""169844"", 169844, 169844, 169844, 169844, 169844, 169844, 169844, 169844, 169844, 169844, 169844, 169844, 169844]"
"""lszomoru""","""Dopeman31""",2,"[""155034"", ""155034"", ""155034"", 155034, 155034, 155034]"
"""alexr00""","""weinand""",2,"[""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", 155883, 155883, 155883, 155883, 155883, 155883, 155883, ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", 155883, 155883, 155883, 155883, 155883, 155883, 155883, ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", 155883, 155883, 155883, 155883, 155883, 155883, 155883, 155883]"
"""github-actions[bot]""","""weinand""",2,"[""155883"", 155883, ""155883"", 155883, ""155883"", 155883]"
"""bhavyaus""","""weinand""",2,"[""155883"", 155883, ""155883"", 155883]"
"""alexr00""","""Danielmelody""",2,"[""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", 155883, 155883, 155883, 155883, 155883, 155883, 155883]"
"""bhavyaus""","""Danielmelody""",2,"[""155883"", 155883]"
"""github-actions[bot]""","""Danielmelody""",2,"[""155883"", 155883]"
"""weinand""","""Danielmelody""",2,"[""155883"", ""155883"", ""155883"", 155883, 155883, 155883]"
