author,filename,timestamp
"""ivan-mischenko""","""lms/locale/bs/LC_MESSAGES/django.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""reporting/templates/sync_stepper_form.html""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""company/models.py""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/ar/LC_MESSAGES/django.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/id/LC_MESSAGES/djangojs.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/hu/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""reporting/urls.py""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/vi/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/fr/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/de/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/zh-CN/LC_MESSAGES/django.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/hi/LC_MESSAGES/djangojs.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""reporting/templates/coursecode_detail.html""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/bg/LC_MESSAGES/django.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/id/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/sl/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/lt/LC_MESSAGES/djangojs.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/ar/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/ko/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""reporting/templates/import_employees_info_modal.html""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/pt/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/el/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/bg/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""apis/urls.py""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/nl/LC_MESSAGES/djangojs.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/el/LC_MESSAGES/django.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/hr/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/sv/LC_MESSAGES/django.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/th/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/th/LC_MESSAGES/django.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/hi/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/ar-ae/LC_MESSAGES/djangojs.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/ro/LC_MESSAGES/djangojs.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/ru/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/tr/LC_MESSAGES/django.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/cs/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/lt/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/th/LC_MESSAGES/djangojs.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/tr/LC_MESSAGES/djangojs.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/fi/LC_MESSAGES/django.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/sv/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/bg/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""company/migrations/0025_formfieldsetting__is_used_for_sync.py""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/cs/LC_MESSAGES/djangojs.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/en/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/da/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
